epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,24652.6,0.0559,0.07291,0.77756,0.99983,0.99993,0.995,0.9949,0.03841,0.0304,0.95831,0.00307,0.00307,0.00307
72,24998.7,0.05544,0.07231,0.77851,0.9998,0.99992,0.995,0.9949,0.03893,0.03505,0.95815,0.002971,0.002971,0.002971
73,25344.2,inf,0.07195,0.77836,0.99981,0.99997,0.995,0.9949,0.03947,0.03427,0.95869,0.002872,0.002872,0.002872
74,25689.2,0.05525,0.07278,0.77815,0.99989,0.99994,0.995,0.99489,0.03996,0.03293,0.959,0.002773,0.002773,0.002773
75,26033.9,0.05455,0.07157,0.77687,0.99988,0.99994,0.995,0.9949,0.04042,0.03305,0.95901,0.002674,0.002674,0.002674
76,26378.7,0.0542,0.07053,0.77737,0.99987,0.99995,0.995,0.99491,0.0402,0.03295,0.95987,0.002575,0.002575,0.002575
77,26723.7,0.05381,0.06911,0.77754,0.9998,1,0.995,0.99491,0.03943,0.03163,0.95996,0.002476,0.002476,0.002476
78,27068.7,0.05364,0.06997,0.77888,0.99985,1,0.995,0.99491,0.03873,0.03093,0.95962,0.002377,0.002377,0.002377
79,27413.3,0.05295,0.06944,0.77736,0.99988,0.99999,0.995,0.99491,0.03848,0.03118,0.9593,0.002278,0.002278,0.002278
80,27756.9,inf,0.06747,0.77872,0.99989,0.99999,0.995,0.99491,0.0382,0.03341,0.95923,0.002179,0.002179,0.002179
81,28100.4,0.05159,0.06707,0.77796,0.99987,1,0.995,0.99492,0.03826,0.03292,0.95863,0.00208,0.00208,0.00208
82,28444,0.05152,0.0671,0.77868,0.99981,1,0.995,0.99491,0.03837,0.03276,0.9584,0.001981,0.001981,0.001981
83,28788.1,0.0512,0.0652,0.77809,0.99975,1,0.995,0.9949,0.03756,0.03187,0.95846,0.001882,0.001882,0.001882
84,29131.2,inf,0.06621,0.77815,0.99987,0.99972,0.995,0.9949,0.03711,0.03078,0.95821,0.001783,0.001783,0.001783
85,29474.3,0.05016,0.06388,0.77644,0.99961,0.99993,0.995,0.9949,0.03643,0.02806,0.95803,0.001684,0.001684,0.001684
86,29816.8,inf,0.06414,0.77844,0.99979,0.99973,0.995,0.99491,0.03633,0.02807,0.95797,0.001585,0.001585,0.001585
87,30158.1,inf,0.06383,0.77765,0.99965,0.99995,0.995,0.99491,0.03612,0.02807,0.95799,0.001486,0.001486,0.001486
88,30499.1,0.04928,0.06342,0.77786,0.9997,0.99996,0.995,0.9949,0.03591,0.02834,0.95791,0.001387,0.001387,0.001387
89,30839.7,0.0489,0.06303,0.77641,0.99972,0.99991,0.995,0.9949,0.03606,0.03044,0.95793,0.001288,0.001288,0.001288
90,31180.2,inf,0.06205,0.77794,0.99975,0.99993,0.995,0.9949,0.03604,0.03143,0.95782,0.001189,0.001189,0.001189
91,31505.7,0.04518,0.05438,0.77083,0.99972,0.99989,0.995,0.9949,0.03654,0.03382,0.95736,0.00109,0.00109,0.00109
92,31830.2,0.04377,0.05205,0.76935,0.99974,0.99984,0.995,0.9949,0.03685,0.03407,0.95726,0.000991,0.000991,0.000991
93,32154.5,0.04279,0.0512,0.77082,0.99976,0.99992,0.995,0.99491,0.03687,0.03497,0.95742,0.000892,0.000892,0.000892
94,32478.9,0.04257,0.05125,0.76978,0.99985,0.99976,0.995,0.99491,0.03667,0.03462,0.95738,0.000793,0.000793,0.000793
95,32803.6,0.04183,0.04924,0.77129,0.99985,0.99971,0.995,0.99491,0.03654,0.0357,0.95727,0.000694,0.000694,0.000694
96,33127.8,0.04136,0.04817,0.76997,0.99985,0.99969,0.995,0.99491,0.03646,0.0358,0.95727,0.000595,0.000595,0.000595
97,33452.2,0.04108,0.0472,0.76928,0.99987,0.99967,0.995,0.9949,0.03644,0.0358,0.95731,0.000496,0.000496,0.000496
98,33776.1,inf,0.0464,0.77106,0.99987,0.99967,0.995,0.9949,0.03644,0.03604,0.95727,0.000397,0.000397,0.000397
99,34099.5,0.03975,0.04643,0.77007,0.99988,0.99963,0.995,0.99491,0.0363,0.03638,0.95719,0.000298,0.000298,0.000298
100,34423,0.03925,0.04666,0.77025,0.99984,0.9996,0.995,0.99491,0.03617,0.03692,0.95713,0.000199,0.000199,0.000199
